epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7156,0.88894,1.12809,1.48772,0.87825,0.89729,0.89547,0.96075,0.69879,0.83713,0.75219,0.82507,0.44902,0.93695,0.86908,0.83585,0.82096,0.000468525,0.000468525,0.000468525
2,161.422,0.82285,0.8243,0.65493,0.87009,0.83349,0.78486,0.86747,0.61523,0.78581,0.70035,0.77779,0.40934,1.02387,0.82682,1.10904,0.84438,0.000913678,0.000913678,0.000913678
3,242.928,0.88065,0.84029,0.62338,0.88533,0.94484,0.83558,0.92498,0.65291,0.85042,0.74564,0.7744,0.40931,0.99302,1.00944,0.68174,0.87857,0.00132739,0.00132739,0.00132739
4,325.497,0.83456,0.7771,0.60941,0.87934,0.8426,0.80836,0.86735,0.56771,0.72846,0.70035,0.71801,0.33508,1.16194,1.00256,0.97527,0.87878,0.00128753,0.00128753,0.00128753
5,405.636,0.80153,0.71666,0.5667,0.87061,0.92892,0.89895,0.96452,0.72943,0.88413,0.77103,0.84,0.42383,0.84767,0.75472,0.52872,0.81938,0.00124037,0.00124037,0.00124037
6,488.335,0.75433,0.63625,0.52316,0.85856,0.91094,0.86411,0.94722,0.71457,0.89866,0.7108,0.81897,0.43734,0.89433,0.90553,0.6061,0.82458,0.00119322,0.00119322,0.00119322
7,569.844,0.75068,0.6474,0.5177,0.86213,0.93927,0.86063,0.96388,0.72701,0.87859,0.74216,0.83079,0.42805,0.85881,0.76609,0.52013,0.82111,0.00114606,0.00114606,0.00114606
8,652.996,0.70523,0.6417,0.47358,0.84664,0.95105,0.94776,0.98476,0.75365,0.81323,0.81882,0.85457,0.49226,0.8353,0.69251,0.46997,0.81202,0.0010989,0.0010989,0.0010989
9,733.922,0.68374,0.63439,0.46242,0.84603,0.95327,0.94425,0.98469,0.79298,0.84964,0.84665,0.88129,0.53212,0.74021,0.69232,0.43148,0.80632,0.00105174,0.00105174,0.00105174
10,815.588,0.67205,0.63154,0.46174,0.84153,0.93405,0.92683,0.98088,0.78821,0.81787,0.81364,0.85477,0.48609,0.75574,0.66902,0.44205,0.80867,0.00100459,0.00100459,0.00100459
11,896.283,0.64242,0.57447,0.43437,0.83717,0.98482,0.90443,0.98213,0.79973,0.90374,0.81786,0.88853,0.54749,0.75151,0.66067,0.44444,0.79988,0.00095743,0.00095743,0.00095743
12,977.551,0.61996,0.57683,0.4235,0.83223,0.93813,0.94077,0.97734,0.76772,0.80766,0.81934,0.857,0.5204,0.83412,0.68511,0.45064,0.80662,0.000910273,0.000910273,0.000910273
13,1058.8,0.62412,0.57381,0.41846,0.83655,0.96736,0.90941,0.97725,0.79402,0.88029,0.79425,0.88386,0.5131,0.76151,0.70163,0.43735,0.79998,0.000863116,0.000863116,0.000863116
14,1139.97,0.60994,0.5627,0.39941,0.83539,0.94524,0.96223,0.98109,0.81599,0.8697,0.84669,0.89119,0.57143,0.67994,0.61803,0.39297,0.79521,0.000815959,0.000815959,0.000815959
15,1220.84,0.58732,0.57385,0.39542,0.8266,0.96075,0.93829,0.98061,0.81662,0.8868,0.80488,0.893,0.54754,0.6883,0.72919,0.41422,0.78995,0.000768802,0.000768802,0.000768802
16,1303.78,0.57714,0.53862,0.38774,0.82609,0.95583,0.89895,0.97534,0.81027,0.89791,0.7561,0.86482,0.52222,0.69728,0.71621,0.41039,0.79461,0.000721645,0.000721645,0.000721645
17,1386.11,0.55976,0.5172,0.37306,0.82232,0.90737,0.96167,0.9798,0.8067,0.91571,0.74216,0.86596,0.50094,0.73679,0.65158,0.42133,0.79136,0.000674488,0.000674488,0.000674488
18,1469.27,0.55806,0.54138,0.36891,0.82021,0.96494,0.95886,0.99015,0.82858,0.85752,0.83275,0.87489,0.54762,0.70684,0.597,0.37948,0.798,0.000627331,0.000627331,0.000627331
19,1550.12,0.55946,0.54943,0.36707,0.82061,0.95426,0.94506,0.98011,0.82706,0.88705,0.81882,0.8809,0.54227,0.6682,0.63284,0.37591,0.79016,0.000580174,0.000580174,0.000580174
20,1631.65,0.53447,0.52862,0.35158,0.81509,0.95664,0.96516,0.98855,0.82171,0.8824,0.81048,0.89512,0.52182,0.72508,0.64495,0.36827,0.79835,0.000533017,0.000533017,0.000533017
21,1721.38,0.5347,0.50897,0.3443,0.81231,0.96129,0.94774,0.98445,0.82084,0.83783,0.82807,0.87202,0.50761,0.69485,0.67433,0.3795,0.79816,0.00048586,0.00048586,0.00048586
22,1802.14,0.52288,0.49535,0.34087,0.81031,0.96827,0.94774,0.98947,0.82988,0.88016,0.81891,0.88189,0.56289,0.68229,0.59731,0.37359,0.79361,0.000438703,0.000438703,0.000438703
23,1882.65,0.51585,0.49928,0.33118,0.80978,0.95846,0.96484,0.98836,0.83527,0.86762,0.84496,0.88767,0.55707,0.66066,0.6112,0.36358,0.79063,0.000391546,0.000391546,0.000391546
24,1962.38,0.50506,0.48098,0.3298,0.8041,0.98576,0.94774,0.991,0.82335,0.87774,0.84321,0.89481,0.55527,0.69969,0.65913,0.3716,0.79641,0.000344389,0.000344389,0.000344389
25,2043.53,0.4903,0.5025,0.32056,0.80425,0.9819,0.95122,0.99129,0.84974,0.85695,0.85577,0.9037,0.55689,0.63984,0.63885,0.35506,0.79465,0.000297232,0.000297232,0.000297232
26,2122.96,0.48472,0.49003,0.31474,0.80403,0.98335,0.95122,0.98667,0.85094,0.85573,0.84734,0.89696,0.57527,0.62217,0.59692,0.34762,0.78554,0.000250075,0.000250075,0.000250075
27,2203.7,0.46253,0.47127,0.30742,0.80398,0.97167,0.95619,0.99027,0.85422,0.84955,0.846,0.89006,0.53966,0.61565,0.62819,0.34954,0.78446,0.000202918,0.000202918,0.000202918
28,2283.2,0.44828,0.46944,0.29735,0.79917,0.96869,0.95819,0.98681,0.86227,0.85848,0.84543,0.89108,0.57493,0.60281,0.5697,0.33528,0.78367,0.000155761,0.000155761,0.000155761
29,2364.81,0.44378,0.47232,0.28502,0.79571,0.97534,0.96487,0.99106,0.86326,0.87185,0.84669,0.89745,0.56414,0.59748,0.59893,0.31992,0.79006,0.000108604,0.000108604,0.000108604
30,2444.73,0.4316,0.46246,0.2768,0.79551,0.97186,0.96262,0.9883,0.86495,0.88689,0.83972,0.90015,0.56415,0.58931,0.59784,0.31735,0.78868,6.1447e-05,6.1447e-05,6.1447e-05
