epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2418.42,0.53733,0.51892,0.35435,0.81469,0.97769,0.94762,0.98626,0.81432,0.83219,0.8169,0.80411,0.53829,0.66916,0.63035,0.37765,0.78666,0.000768802,0.000768802,0.000768802
30,2500.05,0.5325,0.51968,0.34549,0.81689,0.96943,0.94259,0.98251,0.81372,0.84796,0.84105,0.84033,0.53221,0.64131,0.62958,0.36979,0.788,0.000745223,0.000745223,0.000745223
31,2583.89,0.49868,0.48585,0.33116,0.81184,0.97857,0.9582,0.98713,0.81298,0.84623,0.83703,0.83561,0.53666,0.65914,0.63326,0.3673,0.78561,0.000721645,0.000721645,0.000721645
32,2665.58,0.51638,0.49515,0.33819,0.81763,0.98211,0.96654,0.99031,0.83012,0.84212,0.83395,0.82002,0.54551,0.64397,0.5899,0.3693,0.78787,0.000698066,0.000698066,0.000698066
33,2748.58,0.50797,0.50018,0.33586,0.8167,0.95962,0.96346,0.9848,0.80499,0.82509,0.8346,0.81616,0.51408,0.6594,0.67709,0.36338,0.7965,0.000674488,0.000674488,0.000674488
34,2830.19,0.49512,0.48508,0.33233,0.8081,0.95959,0.97543,0.98883,0.81142,0.81134,0.81238,0.79594,0.51683,0.67955,0.62553,0.36171,0.80128,0.000650909,0.000650909,0.000650909
35,2914.6,0.51309,0.49019,0.33446,0.81564,0.96668,0.9619,0.98798,0.82804,0.83192,0.83542,0.82608,0.52099,0.61637,0.64348,0.35741,0.78373,0.000627331,0.000627331,0.000627331
36,2996.97,0.50538,0.49102,0.32868,0.80521,0.97886,0.95897,0.98959,0.82688,0.81977,0.8341,0.8014,0.53217,0.63379,0.63558,0.3398,0.79071,0.000603752,0.000603752,0.000603752
37,3081.3,0.47418,0.48306,0.31978,0.80437,0.9686,0.96339,0.98459,0.81345,0.81198,0.834,0.79681,0.53263,0.65325,0.6824,0.3486,0.79925,0.000580174,0.000580174,0.000580174
38,3163.69,0.48362,0.49273,0.32074,0.81686,0.97301,0.96876,0.98929,0.8385,0.85657,0.85135,0.84851,0.56413,0.58832,0.5784,0.33269,0.78309,0.000556595,0.000556595,0.000556595
39,3246.62,0.47672,0.48612,0.31686,0.80922,0.97015,0.9592,0.98823,0.83965,0.84224,0.82556,0.8349,0.54816,0.62172,0.57282,0.33628,0.78622,0.000533017,0.000533017,0.000533017
40,3328.03,0.46891,0.47718,0.31159,0.80662,0.97344,0.97672,0.99036,0.83323,0.84907,0.85659,0.83647,0.54227,0.60356,0.59425,0.33243,0.79013,0.000509438,0.000509438,0.000509438
41,3411.9,0.46492,0.46612,0.30662,0.80814,0.9615,0.96704,0.98859,0.82964,0.82367,0.83339,0.81018,0.53843,0.64024,0.61336,0.34904,0.78683,0.00048586,0.00048586,0.00048586
42,3493.23,0.47085,0.48672,0.3041,0.81019,0.96683,0.96931,0.98938,0.82473,0.84482,0.859,0.83861,0.53797,0.60613,0.63762,0.34026,0.78636,0.000462281,0.000462281,0.000462281
43,3577.71,0.46261,0.47213,0.30532,0.80554,0.97268,0.98052,0.99198,0.84487,0.86623,0.86003,0.84775,0.56798,0.56994,0.60078,0.31936,0.7852,0.000438703,0.000438703,0.000438703
