epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,1009.68,0.63916,0.57789,0.43424,0.83417,0.94875,0.93648,0.98353,0.77874,0.83681,0.8064,0.81672,0.51153,0.74785,0.66452,0.43017,0.80218,0.000910273,0.000910273,0.000910273
13,1092.66,0.61958,0.56311,0.42239,0.83848,0.95187,0.91438,0.97553,0.7669,0.83605,0.81277,0.84354,0.50592,0.75686,0.67544,0.42888,0.80668,0.000863116,0.000863116,0.000863116
14,1174.54,0.61645,0.56194,0.40777,0.83346,0.96131,0.95924,0.98574,0.80087,0.83372,0.84017,0.84605,0.52569,0.69281,0.70322,0.40313,0.79177,0.000815959,0.000815959,0.000815959
15,1258.41,0.60035,0.59378,0.4047,0.82767,0.97887,0.87397,0.97301,0.78181,0.85431,0.80705,0.82428,0.51801,0.686,0.68271,0.48877,0.80196,0.000768802,0.000768802,0.000768802
16,1338.53,0.58276,0.55376,0.3994,0.82673,0.95567,0.94781,0.98407,0.79892,0.82858,0.8245,0.8319,0.51701,0.68985,0.79192,0.41248,0.79764,0.000721645,0.000721645,0.000721645
17,1422.07,0.54745,0.5244,0.3761,0.81908,0.95823,0.96264,0.98581,0.77923,0.83453,0.82934,0.82552,0.5243,0.72676,0.68806,0.39919,0.80059,0.000674488,0.000674488,0.000674488
18,1504.09,0.5633,0.54447,0.38156,0.81939,0.97084,0.95951,0.98611,0.8114,0.83946,0.83743,0.81652,0.52901,0.66635,0.61687,0.39084,0.792,0.000627331,0.000627331,0.000627331
19,1587.95,0.55268,0.55391,0.37869,0.81958,0.94291,0.9627,0.98014,0.8023,0.82036,0.8373,0.80978,0.51833,0.67213,0.65012,0.38819,0.79196,0.000580174,0.000580174,0.000580174
20,1670.39,0.53514,0.52929,0.36038,0.81484,0.9563,0.97546,0.98316,0.80982,0.82006,0.83836,0.83062,0.53642,0.66106,0.6119,0.37902,0.78676,0.000533017,0.000533017,0.000533017
21,1758.94,0.52305,0.50654,0.34709,0.81088,0.95064,0.95976,0.9839,0.79645,0.81935,0.82137,0.822,0.52631,0.69119,0.68218,0.38993,0.78832,0.00048586,0.00048586,0.00048586
22,1839.99,0.52016,0.49935,0.34288,0.8102,0.97789,0.95442,0.98667,0.81466,0.86012,0.84477,0.83517,0.54781,0.65132,0.63757,0.36353,0.79081,0.000438703,0.000438703,0.000438703
23,1919.45,0.51521,0.50269,0.33942,0.80842,0.97282,0.94949,0.98455,0.82433,0.84559,0.83651,0.84786,0.55531,0.64864,0.60125,0.3667,0.79359,0.000391546,0.000391546,0.000391546
24,2000.22,0.51621,0.48448,0.3366,0.80516,0.98541,0.94305,0.98507,0.81453,0.85993,0.8463,0.84585,0.54423,0.65704,0.68418,0.36322,0.79218,0.000344389,0.000344389,0.000344389
25,2080.67,0.49097,0.49658,0.32404,0.80198,0.97664,0.95704,0.98425,0.81375,0.84719,0.82807,0.83793,0.52393,0.67578,0.67262,0.37192,0.79182,0.000297232,0.000297232,0.000297232
26,2160.69,0.49052,0.49094,0.32288,0.80533,0.96983,0.96252,0.98552,0.82966,0.85101,0.852,0.85005,0.55215,0.63451,0.60961,0.34646,0.79097,0.000250075,0.000250075,0.000250075
27,2241.01,0.46151,0.47703,0.30637,0.80413,0.9667,0.96933,0.98651,0.8277,0.84083,0.84524,0.84477,0.5352,0.62975,0.65919,0.33697,0.79021,0.000202918,0.000202918,0.000202918
28,2323.15,0.45123,0.47169,0.29569,0.80012,0.98243,0.94709,0.98588,0.83259,0.85944,0.83519,0.84714,0.56452,0.60012,0.60108,0.32802,0.78815,0.000155761,0.000155761,0.000155761
29,2402.72,0.45133,0.47596,0.29332,0.79633,0.9726,0.9619,0.98709,0.83109,0.86272,0.83889,0.84894,0.54853,0.60082,0.61313,0.32199,0.78964,0.000108604,0.000108604,0.000108604
30,2483.54,0.43435,0.46436,0.28145,0.79644,0.97043,0.96434,0.98759,0.83868,0.85979,0.84949,0.85299,0.55665,0.59093,0.60626,0.31535,0.78839,6.1447e-05,6.1447e-05,6.1447e-05
