epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8465,0.9247,1.10248,1.56675,0.90867,0.89209,0.78592,0.94224,0.65081,0.76505,0.6864,0.73794,0.46127,1.03175,0.85196,0.89251,0.83114,0.000468525,0.000468525,0.000468525
2,177.879,0.83699,0.80786,0.69401,0.87294,0.87368,0.89643,0.93643,0.64795,0.76765,0.80189,0.78266,0.49266,1.04743,0.83173,0.60153,0.85326,0.000913678,0.000913678,0.000913678
3,262.063,0.86434,0.81971,0.684,0.88409,0.88866,0.79002,0.87446,0.60301,0.73691,0.68074,0.688,0.40966,1.03914,0.97117,0.86825,0.87418,0.00132739,0.00132739,0.00132739
4,346.487,0.83107,0.72444,0.63236,0.88578,0.91243,0.83118,0.92824,0.6589,0.81518,0.716,0.77055,0.45743,1.00405,0.8622,0.81709,0.83118,0.00128753,0.00128753,0.00128753
5,430.153,0.80856,0.74017,0.59854,0.87513,0.8323,0.84716,0.90401,0.64789,0.77501,0.67805,0.73375,0.43549,0.98212,0.83901,0.65766,0.83127,0.00124037,0.00124037,0.00124037
6,512.017,0.76424,0.6298,0.53647,0.86133,0.88159,0.89206,0.96366,0.69518,0.73342,0.75952,0.76961,0.42688,0.94387,0.93844,0.55518,0.82851,0.00119322,0.00119322,0.00119322
7,596.688,0.73938,0.64492,0.51782,0.85909,0.9144,0.89226,0.96552,0.70473,0.7809,0.78461,0.78253,0.46813,0.90531,0.80465,0.52735,0.82985,0.00114606,0.00114606,0.00114606
8,679.97,0.70352,0.61955,0.4843,0.84708,0.9425,0.91108,0.97066,0.74601,0.825,0.77717,0.818,0.5319,0.80534,0.64525,0.47891,0.8042,0.0010989,0.0010989,0.0010989
9,764.444,0.68777,0.63349,0.48765,0.84704,0.97037,0.88121,0.96166,0.73607,0.85341,0.78016,0.81822,0.51124,0.78863,0.76947,0.48147,0.82128,0.00105174,0.00105174,0.00105174
10,844.436,0.69452,0.64276,0.47729,0.84347,0.94161,0.92314,0.97641,0.75236,0.80986,0.80962,0.81475,0.50554,0.77556,0.73162,0.46839,0.80211,0.00100459,0.00100459,0.00100459
11,928.169,0.65077,0.57684,0.44507,0.83876,0.96908,0.8974,0.97717,0.73202,0.82224,0.7769,0.79647,0.51519,0.88431,0.68394,0.46502,0.81022,0.00095743,0.00095743,0.00095743
